DEPTH,APLHA
0,40
0.01,50
0.02,10
0.03,60
0.04,100
0.05,90
0.06,35
0.07,70
0.08,10
0.09,50
0.1,105
0.11,10
0.12,50
0.13,0
0.14,50
0.15,45
0.16,60
0.17,40
0.18,30
0.19,20
0.2,10
0.21,20
0.22,60
0.23,70
0.24,40
0.25,50
0.26,10
0.27,30
0.28,65
0.29,70
0.3,30
0.31,40
0.32,40
0.33,90
0.34,60
0.35,50
0.36,40
0.37,30
0.38,70
0.39,20
0.4,60
0.41,40
0.42,10
0.43,100
0.44,70
0.45,100
0.46,40
0.47,70
0.48,80
0.49,60
0.5,30
0.51,30
0.52,60
0.53,30
0.54,50
0.55,50
0.56,30
0.57,30
0.58,120
0.59,50
0.6,80
0.61,10
0.62,80
0.63,50
0.64,50
0.65,40
0.66,50
0.67,10
0.68,50
0.69,60
0.7,20
0.71,70
0.72,80
0.73,40
0.74,70
0.75,50
0.76,90
0.77,90
0.78,70
0.79,80
0.8,70
0.81,70
0.82,50
0.83,60
0.84,80
0.85,20
0.86,40
0.87,80
0.88,80
0.89,70
0.9,30
0.91,100
0.92,70
0.93,80
0.94,40
0.95,50
0.96,70
0.97,70
0.98,130
0.99,70
1,50
1.01,70
1.02,70
1.03,30
1.04,80
1.05,70
1.06,30
1.07,60
1.08,110
1.09,70
1.1,70
1.11,80
1.12,60
1.13,50
1.14,50
1.15,90
1.16,80
1.17,80
1.18,70
1.19,70
1.2,50
1.21,70
1.22,20
1.23,80
1.24,90
1.25,80
1.26,40
1.27,40
1.28,40
1.29,60
1.3,60
1.31,20
1.32,30
1.33,40
1.34,50
1.35,80
1.36,80
1.37,20
1.38,40
1.39,50
1.4,40
1.41,50
1.42,60
1.43,10
1.44,20
1.45,20
1.46,40
1.47,20
1.48,60
1.49,50
1.5,80
1.51,90
1.52,70
1.53,60
1.54,60
1.55,30
1.56,40
1.57,50
1.58,80
1.59,60
1.6,20
1.61,30
1.62,30
1.63,40
1.64,50
1.65,60
1.66,60
1.67,40
1.68,60
1.69,70
1.7,60
1.71,60
1.72,30
1.73,20
1.74,0
1.75,70
1.76,50
1.77,40
1.78,40
1.79,50
1.8,50
1.81,40
1.82,80
1.83,80
1.84,10
1.85,80
1.86,90
1.87,40
1.88,30
1.89,30
1.9,40
1.91,40
1.92,90
1.93,90
1.94,50
1.95,50
1.96,60
1.97,60
1.98,60
1.99,60
2,50
2.01,70
2.02,80
2.03,60
